#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.3
#   (GeV)    (pb)         (pb)        (pb)        (pb)        (pb)        (pb)
   Mass      q*       Axigluon    E6Diquark      Z'          W'       RSGraviton
  6900.0  0.1635E-03  0.9958E-04  0.7833E-03  0.3731E-05  0.3143E-05  0.1653E-05
  7000.0  0.1310E-03  0.7727E-04  0.6366E-03  0.2900E-05  0.2364E-05  0.1282E-05
  7100.0  0.1049E-03  0.5977E-04  0.5160E-03  0.2247E-05  0.1774E-05  0.9914E-06
  7200.0  0.8385E-04  0.4606E-04  0.4170E-03  0.1734E-05  0.1329E-05  0.7639E-06
  7300.0  0.6699E-04  0.3537E-04  0.3360E-03  0.1334E-05  0.9931E-06  0.5866E-06
  7400.0  0.5347E-04  0.2707E-04  0.2700E-03  0.1022E-05  0.7411E-06  0.4489E-06
  7500.0  0.4264E-04  0.2064E-04  0.2162E-03  0.7804E-06  0.5523E-06  0.3423E-06
  7600.0  0.3397E-04  0.1567E-04  0.1725E-03  0.5932E-06  0.4108E-06  0.2599E-06
  7700.0  0.2704E-04  0.1185E-04  0.1372E-03  0.4492E-06  0.3055E-06  0.1966E-06
  7800.0  0.2151E-04  0.8929E-05  0.1087E-03  0.3388E-06  0.2271E-06  0.1481E-06
  7900.0  0.1709E-04  0.6698E-05  0.8577E-04  0.2544E-06  0.1687E-06  0.1112E-06
  8000.0  0.1357E-04  0.5005E-05  0.6742E-04  0.1903E-06  0.1254E-06  0.8308E-07
  8100.0  0.1077E-04  0.3724E-05  0.5278E-04  0.1417E-06  0.9327E-07  0.6183E-07
  8200.0  0.8544E-05  0.2760E-05  0.4114E-04  0.1051E-06  0.6945E-07  0.4584E-07
  8300.0  0.6773E-05  0.2037E-05  0.3192E-04  0.7764E-07  0.5177E-07  0.3384E-07
  8400.0  0.5367E-05  0.1498E-05  0.2465E-04  0.5711E-07  0.3863E-07  0.2489E-07
  8500.0  0.4251E-05  0.1097E-05  0.1894E-04  0.4186E-07  0.2888E-07  0.1823E-07
  8600.0  0.3367E-05  0.8002E-06  0.1448E-04  0.3055E-07  0.2162E-07  0.1330E-07
  8700.0  0.2666E-05  0.5820E-06  0.1101E-04  0.2223E-07  0.1622E-07  0.9672E-08
  8800.0  0.2112E-05  0.4218E-06  0.8322E-05  0.1612E-07  0.1218E-07  0.7008E-08
  8900.0  0.1673E-05  0.3046E-06  0.6253E-05  0.1164E-07  0.9156E-08  0.5059E-08
  9000.0  0.1326E-05  0.2195E-06  0.4670E-05  0.8394E-08  0.6893E-08  0.3645E-08
